mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
0.7576488971710205,0.006370989999136913,0.0016637325286865234,6.469318454619434e-05,friedman_mse,0.1,quantile,500,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'n_estimators': 500, 'subsample': 0.8}",0.8863909402898811,0.8738232202468612,0.8752168203419218,0.8788856044505786,0.8552425222413222,0.873911821514113,0.010302626165992536,11,-35.6103233922274,-39.119070841947085,-35.15405430752062,-35.735005163595396,-37.68571279971984,-36.66083330100207,1.5049532576294875,11
0.30123424530029297,0.002797402372546326,0.0008607864379882813,1.0631009317831158e-05,friedman_mse,0.1,quantile,200,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'n_estimators': 200, 'subsample': 0.8}",0.8842530595079977,0.8734683302896413,0.8650614618138059,0.8727085194794154,0.838830828033135,0.8668644398247991,0.015292238884884766,12,-36.28043391168023,-39.22909873618198,-38.015033056322835,-37.55756442535061,-41.95828236961547,-38.608082499830225,1.922641107980947,12
0.833832836151123,0.017444849604129436,0.0013788700103759765,0.00012604760737538556,friedman_mse,0.1,quantile,500,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'n_estimators': 500, 'subsample': 1.0}",0.881445770825251,0.8691013650051282,0.8660167544601063,0.8657902399189263,0.8370571428346958,0.8638822546088216,0.01458423350379901,13,-37.160367766454,-40.583005728129436,-37.7459069636905,-39.598814391514956,-42.420038073157954,-39.501626584589374,1.9110204697602502,13
0.3281839370727539,0.004374833271850727,0.0007854938507080078,3.1705404295719924e-05,friedman_mse,0.1,quantile,200,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'n_estimators': 200, 'subsample': 1.0}",0.8790941972024726,0.8704821346814804,0.867740723146546,0.8650052367603991,0.8336990662172972,0.8632042716016389,0.015490881443633203,14,-37.897459486088344,-40.154920410915715,-37.26022861350233,-39.8304308876066,-43.29426932478082,-39.68746174457876,2.1139341266553493,14
0.1540066719055176,0.002041683931011044,0.0006008148193359375,1.1976114331017e-05,friedman_mse,0.1,quantile,100,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'n_estimators': 100, 'subsample': 0.8}",0.8755322469539523,0.8683815877094722,0.8589044494737396,0.8676829810637287,0.8313325772036979,0.8603667684809182,0.015445897003025125,15,-39.01393910998876,-40.806161043031956,-39.7495933293328,-39.04035794811673,-43.910353735002936,-40.504081033094636,1.8235243879801624,15
0.16621837615966797,0.0009476459058960368,0.000572824478149414,1.9865061191757147e-05,friedman_mse,0.1,quantile,100,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'n_estimators': 100, 'subsample': 1.0}",0.8746574906132694,0.8623597329650952,0.8587942058452727,0.8597172433750904,0.8260240290714864,0.856310540374043,0.0161756007645744,16,-39.28812812502508,-42.67313975976641,-39.780651285323366,-41.39066218853362,-45.292364691476784,-41.68498921002505,2.1655333643681245,16
0.853499460220337,0.021178188935861805,0.0019654273986816407,9.283807621808152e-05,friedman_mse,0.01,quantile,500,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'quantile', 'n_estimators': 500, 'subsample': 1.0}",0.8418556104664598,0.8272456855960482,0.8170730106802944,0.8258336979528991,0.7940747908734013,0.8212165591138205,0.015732026918185194,17,-49.5697514645846,-53.559682507684826,-51.534392171099576,-51.38805898955088,-53.60993027458322,-51.93236308150061,1.5165079389550677,17
0.7534999370574951,0.008338701891532465,0.002419281005859375,0.00018329811392909045,friedman_mse,0.01,quantile,500,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'quantile', 'n_estimators': 500, 'subsample': 0.8}",0.8347623505468347,0.8259401145292502,0.8153741958471933,0.827448193279242,0.7937166191455092,0.8194482946696059,0.014278514045639326,18,-51.79310654108542,-53.96445371163524,-52.012984150121916,-50.91169944069838,-53.70317559136625,-52.47708388698144,1.1704026574618562,18
0.1804190158843994,0.0006846651752966623,0.0007401466369628906,6.1057503900562725e-06,friedman_mse,0.01,huber,100,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'huber', 'n_estimators': 100, 'subsample': 0.8}",0.8013831266104237,0.7985225820865688,0.7895365464695018,0.79728801886141,0.8074893993466942,0.7988439346749197,0.0058368342753131325,19,-62.25569607391037,-62.46481642524268,-59.291995086458826,-59.8105093936108,-50.1176127095592,-58.78812593775638,4.5170576104380284,19
0.19547014236450194,0.00333110826507992,0.0006804466247558594,2.2894639853015442e-05,friedman_mse,0.01,huber,100,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'huber', 'n_estimators': 100, 'subsample': 1.0}",0.8004555604086285,0.7978328486965673,0.7887804950328687,0.7970125561608901,0.8067325809638508,0.798162808252561,0.005799266700328878,20,-62.54643813706895,-62.678657112874056,-59.50499072686087,-59.89178512454936,-50.31464046010437,-58.987302312291526,4.52978370648377,20
